symbol,trading_days,data_path
AGX,11,market_data\yahoo\1m\AGX
AGYS,11,market_data\yahoo\1m\AGYS
AHCO,11,market_data\yahoo\1m\AHCO
AHG,11,market_data\yahoo\1m\AHG
AHH,11,market_data\yahoo\1m\AHH
AHL,11,market_data\yahoo\1m\AHL
AHR,11,market_data\yahoo\1m\AHR
AHT,11,market_data\yahoo\1m\AHT
AI,11,market_data\yahoo\1m\AI
AIBGY,11,market_data\yahoo\1m\AIBGY
AIEQ,11,market_data\yahoo\1m\AIEQ
AIFF,11,market_data\yahoo\1m\AIFF
AIFU,11,market_data\yahoo\1m\AIFU
AIG,11,market_data\yahoo\1m\AIG
AIHS,11,market_data\yahoo\1m\AIHS
AII,11,market_data\yahoo\1m\AII
AIM,11,market_data\yahoo\1m\AIM
AIMD,11,market_data\yahoo\1m\AIMD
AIN,11,market_data\yahoo\1m\AIN
AIO,11,market_data\yahoo\1m\AIO
AIOT,11,market_data\yahoo\1m\AIOT
AIP,11,market_data\yahoo\1m\AIP
AIQ,11,market_data\yahoo\1m\AIQ
AIQUY,11,market_data\yahoo\1m\AIQUY
AIR,11,market_data\yahoo\1m\AIR
AIRE,11,market_data\yahoo\1m\AIRE
AIRG,11,market_data\yahoo\1m\AIRG
AIRI,11,market_data\yahoo\1m\AIRI
AIRJ,11,market_data\yahoo\1m\AIRJ
AIRO,11,market_data\yahoo\1m\AIRO
AIRR,11,market_data\yahoo\1m\AIRR
AIRS,11,market_data\yahoo\1m\AIRS
AIRTP,11,market_data\yahoo\1m\AIRTP
AIS,11,market_data\yahoo\1m\AIS
AISP,11,market_data\yahoo\1m\AISP
AIT,11,market_data\yahoo\1m\AIT
AIV,11,market_data\yahoo\1m\AIV
AIXI,11,market_data\yahoo\1m\AIXI
AIZ,11,market_data\yahoo\1m\AIZ
AIZN,11,market_data\yahoo\1m\AIZN
AJG,11,market_data\yahoo\1m\AJG
AKA,11,market_data\yahoo\1m\AKA
AKAM,11,market_data\yahoo\1m\AKAM
AKAN,11,market_data\yahoo\1m\AKAN
AKBA,11,market_data\yahoo\1m\AKBA
AKR,11,market_data\yahoo\1m\AKR
AKRO,11,market_data\yahoo\1m\AKRO
AKTX,11,market_data\yahoo\1m\AKTX
AKZOY,11,market_data\yahoo\1m\AKZOY
AL,11,market_data\yahoo\1m\AL
ALAB,11,market_data\yahoo\1m\ALAB
ALAI,11,market_data\yahoo\1m\ALAI
ALAR,11,market_data\yahoo\1m\ALAR
ALB,11,market_data\yahoo\1m\ALB
ALBT,11,market_data\yahoo\1m\ALBT
ALC,11,market_data\yahoo\1m\ALC
ALCO,11,market_data\yahoo\1m\ALCO
ALDX,11,market_data\yahoo\1m\ALDX
ALE,11,market_data\yahoo\1m\ALE
ALEC,11,market_data\yahoo\1m\ALEC
ALEX,11,market_data\yahoo\1m\ALEX
ALG,11,market_data\yahoo\1m\ALG
ALGM,11,market_data\yahoo\1m\ALGM
ALGN,11,market_data\yahoo\1m\ALGN
ALGS,11,market_data\yahoo\1m\ALGS
ALGT,11,market_data\yahoo\1m\ALGT
ALHC,11,market_data\yahoo\1m\ALHC
ALIT,11,market_data\yahoo\1m\ALIT
ALIZY,11,market_data\yahoo\1m\ALIZY
ALK,11,market_data\yahoo\1m\ALK
ALKS,11,market_data\yahoo\1m\ALKS
ALKT,11,market_data\yahoo\1m\ALKT
ALL,11,market_data\yahoo\1m\ALL
ALLE,11,market_data\yahoo\1m\ALLE
ALLO,11,market_data\yahoo\1m\ALLO
ALLR,11,market_data\yahoo\1m\ALLR
ALLT,11,market_data\yahoo\1m\ALLT
ALLY,11,market_data\yahoo\1m\ALLY
ALM,11,market_data\yahoo\1m\ALM
ALMS,11,market_data\yahoo\1m\ALMS
ALMU,11,market_data\yahoo\1m\ALMU
ALNT,11,market_data\yahoo\1m\ALNT
ALNY,11,market_data\yahoo\1m\ALNY
ALRM,11,market_data\yahoo\1m\ALRM
ALRS,11,market_data\yahoo\1m\ALRS
ALSMY,11,market_data\yahoo\1m\ALSMY
ALSN,11,market_data\yahoo\1m\ALSN
ALT,11,market_data\yahoo\1m\ALT
ALTG,11,market_data\yahoo\1m\ALTG
ALTI,11,market_data\yahoo\1m\ALTI
ALTO,11,market_data\yahoo\1m\ALTO
ALTS,11,market_data\yahoo\1m\ALTS
ALUR,11,market_data\yahoo\1m\ALUR
ALV,11,market_data\yahoo\1m\ALV
ALVO,11,market_data\yahoo\1m\ALVO
ALX,11,market_data\yahoo\1m\ALX
ALXO,11,market_data\yahoo\1m\ALXO
ALYI,11,market_data\yahoo\1m\ALYI
ALZN,11,market_data\yahoo\1m\ALZN
AM,11,market_data\yahoo\1m\AM
AMADY,11,market_data\yahoo\1m\AMADY
AMAL,11,market_data\yahoo\1m\AMAL
AMAT,11,market_data\yahoo\1m\AMAT
AMBA,11,market_data\yahoo\1m\AMBA
AMBC,11,market_data\yahoo\1m\AMBC
AMBI,11,market_data\yahoo\1m\AMBI
AMBO,11,market_data\yahoo\1m\AMBO
AMBP,11,market_data\yahoo\1m\AMBP
AMBQ,11,market_data\yahoo\1m\AMBQ
AMBR,11,market_data\yahoo\1m\AMBR
AMC,11,market_data\yahoo\1m\AMC
AMCR,11,market_data\yahoo\1m\AMCR
AMCX,11,market_data\yahoo\1m\AMCX
AMD,11,market_data\yahoo\1m\AMD
AME,11,market_data\yahoo\1m\AME
AMG,11,market_data\yahoo\1m\AMG
AMGN,11,market_data\yahoo\1m\AMGN
AMH,11,market_data\yahoo\1m\AMH
AMID,11,market_data\yahoo\1m\AMID
AMIX,11,market_data\yahoo\1m\AMIX
AMKBY,11,market_data\yahoo\1m\AMKBY
AMKR,11,market_data\yahoo\1m\AMKR
AMLP,11,market_data\yahoo\1m\AMLP
AMLX,11,market_data\yahoo\1m\AMLX
AMN,11,market_data\yahoo\1m\AMN
AMOD,11,market_data\yahoo\1m\AMOD
AMP,11,market_data\yahoo\1m\AMP
AMPG,11,market_data\yahoo\1m\AMPG
AMPH,11,market_data\yahoo\1m\AMPH
AMPL,11,market_data\yahoo\1m\AMPL
AMPX,11,market_data\yahoo\1m\AMPX
AMPY,11,market_data\yahoo\1m\AMPY
AMR,11,market_data\yahoo\1m\AMR
AMRC,11,market_data\yahoo\1m\AMRC
AMRK,11,market_data\yahoo\1m\AMRK
AMRN,11,market_data\yahoo\1m\AMRN
AMRX,11,market_data\yahoo\1m\AMRX
AMRZ,11,market_data\yahoo\1m\AMRZ
AMS,11,market_data\yahoo\1m\AMS
AMSC,11,market_data\yahoo\1m\AMSC
AMSF,11,market_data\yahoo\1m\AMSF
AMST,11,market_data\yahoo\1m\AMST
AMT,11,market_data\yahoo\1m\AMT
AMTB,11,market_data\yahoo\1m\AMTB
AMTD,11,market_data\yahoo\1m\AMTD
AMTM,11,market_data\yahoo\1m\AMTM
AMTX,11,market_data\yahoo\1m\AMTX
AMWD,11,market_data\yahoo\1m\AMWD
AMWL,11,market_data\yahoo\1m\AMWL
AMX,11,market_data\yahoo\1m\AMX
AMXEF,11,market_data\yahoo\1m\AMXEF
AMZA,11,market_data\yahoo\1m\AMZA
AMZD,11,market_data\yahoo\1m\AMZD
AMZE,11,market_data\yahoo\1m\AMZE
AMZN,11,market_data\yahoo\1m\AMZN
AMZU,11,market_data\yahoo\1m\AMZU
AMZW,11,market_data\yahoo\1m\AMZW
AN,11,market_data\yahoo\1m\AN
ANAB,11,market_data\yahoo\1m\ANAB
ANDE,11,market_data\yahoo\1m\ANDE
ANEB,11,market_data\yahoo\1m\ANEB
ANET,11,market_data\yahoo\1m\ANET
ANF,11,market_data\yahoo\1m\ANF
ANGH,11,market_data\yahoo\1m\ANGH
ANGI,11,market_data\yahoo\1m\ANGI
ANGO,11,market_data\yahoo\1m\ANGO
ANGPY,11,market_data\yahoo\1m\ANGPY
ANIK,11,market_data\yahoo\1m\ANIK
ANIP,11,market_data\yahoo\1m\ANIP
ANIX,11,market_data\yahoo\1m\ANIX
ANNA,11,market_data\yahoo\1m\ANNA
ANNX,11,market_data\yahoo\1m\ANNX
ANPA,11,market_data\yahoo\1m\ANPA
ANRO,11,market_data\yahoo\1m\ANRO
ANTA,11,market_data\yahoo\1m\ANTA
ANTE,11,market_data\yahoo\1m\ANTE
ANTX,11,market_data\yahoo\1m\ANTX
ANVS,11,market_data\yahoo\1m\ANVS
ANY,11,market_data\yahoo\1m\ANY
AOA,11,market_data\yahoo\1m\AOA
AOD,11,market_data\yahoo\1m\AOD
AOIFF,11,market_data\yahoo\1m\AOIFF
AOMR,11,market_data\yahoo\1m\AOMR
AON,11,market_data\yahoo\1m\AON
AONC,11,market_data\yahoo\1m\AONC
AORT,11,market_data\yahoo\1m\AORT
AOS,11,market_data\yahoo\1m\AOS
AOSL,11,market_data\yahoo\1m\AOSL
AOTG,11,market_data\yahoo\1m\AOTG
AOTVF,11,market_data\yahoo\1m\AOTVF
AOUT,11,market_data\yahoo\1m\AOUT
AP,11,market_data\yahoo\1m\AP
APA,11,market_data\yahoo\1m\APA
APAM,11,market_data\yahoo\1m\APAM
APD,11,market_data\yahoo\1m\APD
APDN,11,market_data\yahoo\1m\APDN
APEI,11,market_data\yahoo\1m\APEI
APG,11,market_data\yahoo\1m\APG
APGE,11,market_data\yahoo\1m\APGE
APH,11,market_data\yahoo\1m\APH
API,11,market_data\yahoo\1m\API
APIE,11,market_data\yahoo\1m\APIE
APLD,11,market_data\yahoo\1m\APLD
APLE,11,market_data\yahoo\1m\APLE
APLM,11,market_data\yahoo\1m\APLM
APLS,11,market_data\yahoo\1m\APLS
APLT,11,market_data\yahoo\1m\APLT
APM,11,market_data\yahoo\1m\APM
APO,11,market_data\yahoo\1m\APO
APOG,11,market_data\yahoo\1m\APOG
APP,11,market_data\yahoo\1m\APP
APPF,11,market_data\yahoo\1m\APPF
APPN,11,market_data\yahoo\1m\APPN
APPS,11,market_data\yahoo\1m\APPS
APPX,11,market_data\yahoo\1m\APPX
APRE,11,market_data\yahoo\1m\APRE
APT,11,market_data\yahoo\1m\APT
APTV,11,market_data\yahoo\1m\APTV
APUS,11,market_data\yahoo\1m\APUS
APVO,11,market_data\yahoo\1m\APVO
APYX,11,market_data\yahoo\1m\APYX
AQB,11,market_data\yahoo\1m\AQB
AQMS,11,market_data\yahoo\1m\AQMS
AQN,11,market_data\yahoo\1m\AQN
AQST,11,market_data\yahoo\1m\AQST
AQWA,11,market_data\yahoo\1m\AQWA
AR,11,market_data\yahoo\1m\AR
ARAI,11,market_data\yahoo\1m\ARAI
ARAY,11,market_data\yahoo\1m\ARAY
ARBB,11,market_data\yahoo\1m\ARBB
ARBE,11,market_data\yahoo\1m\ARBE
ARBK,11,market_data\yahoo\1m\ARBK
ARBKL,11,market_data\yahoo\1m\ARBKL
ARCB,11,market_data\yahoo\1m\ARCB
ARCC,11,market_data\yahoo\1m\ARCC
ARCO,11,market_data\yahoo\1m\ARCO
ARCT,11,market_data\yahoo\1m\ARCT
ARCX,11,market_data\yahoo\1m\ARCX
ARDC,11,market_data\yahoo\1m\ARDC
ARDT,11,market_data\yahoo\1m\ARDT
ARDX,11,market_data\yahoo\1m\ARDX
ARE,11,market_data\yahoo\1m\ARE
AREB,11,market_data\yahoo\1m\AREB
AREC,11,market_data\yahoo\1m\AREC
AREN,11,market_data\yahoo\1m\AREN
ARES,11,market_data\yahoo\1m\ARES
ARGT,11,market_data\yahoo\1m\ARGT
ARGX,11,market_data\yahoo\1m\ARGX
ARHS,11,market_data\yahoo\1m\ARHS
ARI,11,market_data\yahoo\1m\ARI
ARIS,11,market_data\yahoo\1m\ARIS
ARKAY,11,market_data\yahoo\1m\ARKAY
ARKB,11,market_data\yahoo\1m\ARKB
ARKF,11,market_data\yahoo\1m\ARKF
ARKG,11,market_data\yahoo\1m\ARKG
ARKK,11,market_data\yahoo\1m\ARKK
ARKO,11,market_data\yahoo\1m\ARKO
ARKQ,11,market_data\yahoo\1m\ARKQ
ARKW,11,market_data\yahoo\1m\ARKW
ARKX,11,market_data\yahoo\1m\ARKX
ARLO,11,market_data\yahoo\1m\ARLO
ARLP,11,market_data\yahoo\1m\ARLP
ARM,11,market_data\yahoo\1m\ARM
ARMK,11,market_data\yahoo\1m\ARMK
ARMN,11,market_data\yahoo\1m\ARMN
ARMP,11,market_data\yahoo\1m\ARMP
AROC,11,market_data\yahoo\1m\AROC
AROW,11,market_data\yahoo\1m\AROW
ARQ,11,market_data\yahoo\1m\ARQ
ARQQ,11,market_data\yahoo\1m\ARQQ
ARQT,11,market_data\yahoo\1m\ARQT
ARR,11,market_data\yahoo\1m\ARR
ARREF,11,market_data\yahoo\1m\ARREF
ARRY,11,market_data\yahoo\1m\ARRY
ARSMF,11,market_data\yahoo\1m\ARSMF
ARTL,11,market_data\yahoo\1m\ARTL
ARTNA,11,market_data\yahoo\1m\ARTNA
ARTV,11,market_data\yahoo\1m\ARTV
ARTW,11,market_data\yahoo\1m\ARTW
ARTY,11,market_data\yahoo\1m\ARTY
ARVN,11,market_data\yahoo\1m\ARVN
ARW,11,market_data\yahoo\1m\ARW
ARWR,11,market_data\yahoo\1m\ARWR
AS,11,market_data\yahoo\1m\AS
ASA,11,market_data\yahoo\1m\ASA
ASAN,11,market_data\yahoo\1m\ASAN
ASAZY,11,market_data\yahoo\1m\ASAZY
ASB,11,market_data\yahoo\1m\ASB
ASBP,11,market_data\yahoo\1m\ASBP
ASC,11,market_data\yahoo\1m\ASC
ASEA,11,market_data\yahoo\1m\ASEA
ASG,11,market_data\yahoo\1m\ASG
ASGI,11,market_data\yahoo\1m\ASGI
ASGN,11,market_data\yahoo\1m\ASGN
ASH,11,market_data\yahoo\1m\ASH
ASHR,11,market_data\yahoo\1m\ASHR
ASHS,11,market_data\yahoo\1m\ASHS
ASHTY,11,market_data\yahoo\1m\ASHTY
ASIC,11,market_data\yahoo\1m\ASIC
ASIX,11,market_data\yahoo\1m\ASIX
ASLE,11,market_data\yahoo\1m\ASLE
ASM,11,market_data\yahoo\1m\ASM
ASMB,11,market_data\yahoo\1m\ASMB
ASMIY,11,market_data\yahoo\1m\ASMIY
ASML,11,market_data\yahoo\1m\ASML
ASND,11,market_data\yahoo\1m\ASND
ASNS,11,market_data\yahoo\1m\ASNS
ASO,11,market_data\yahoo\1m\ASO
ASPI,11,market_data\yahoo\1m\ASPI
ASPN,11,market_data\yahoo\1m\ASPN
ASPS,11,market_data\yahoo\1m\ASPS
ASR,11,market_data\yahoo\1m\ASR
ASRT,11,market_data\yahoo\1m\ASRT
ASST,11,market_data\yahoo\1m\ASST
ASTC,11,market_data\yahoo\1m\ASTC
ASTE,11,market_data\yahoo\1m\ASTE
ASTH,11,market_data\yahoo\1m\ASTH
ASTI,11,market_data\yahoo\1m\ASTI
ASTL,11,market_data\yahoo\1m\ASTL
ASTS,11,market_data\yahoo\1m\ASTS
ASUR,11,market_data\yahoo\1m\ASUR
ASX,11,market_data\yahoo\1m\ASX
ASYS,11,market_data\yahoo\1m\ASYS
ATAI,11,market_data\yahoo\1m\ATAI
ATAT,11,market_data\yahoo\1m\ATAT
ATCH,11,market_data\yahoo\1m\ATCH
ATEC,11,market_data\yahoo\1m\ATEC
ATEN,11,market_data\yahoo\1m\ATEN
ATER,11,market_data\yahoo\1m\ATER
ATEX,11,market_data\yahoo\1m\ATEX
ATEYY,11,market_data\yahoo\1m\ATEYY
ATGE,11,market_data\yahoo\1m\ATGE
ATGL,11,market_data\yahoo\1m\ATGL
ATHA,11,market_data\yahoo\1m\ATHA
ATHE,11,market_data\yahoo\1m\ATHE
ATHM,11,market_data\yahoo\1m\ATHM
ATHR,11,market_data\yahoo\1m\ATHR
ATI,11,market_data\yahoo\1m\ATI
ATKR,11,market_data\yahoo\1m\ATKR
ATLC,11,market_data\yahoo\1m\ATLC
ATLKY,11,market_data\yahoo\1m\ATLKY
ATLN,11,market_data\yahoo\1m\ATLN
ATLO,11,market_data\yahoo\1m\ATLO
ATLX,11,market_data\yahoo\1m\ATLX
ATMU,11,market_data\yahoo\1m\ATMU
ATNI,11,market_data\yahoo\1m\ATNI
ATNM,11,market_data\yahoo\1m\ATNM
ATO,11,market_data\yahoo\1m\ATO
ATOM,11,market_data\yahoo\1m\ATOM
ATOS,11,market_data\yahoo\1m\ATOS
ATPC,11,market_data\yahoo\1m\ATPC
ATR,11,market_data\yahoo\1m\ATR
ATRA,11,market_data\yahoo\1m\ATRA
ATRC,11,market_data\yahoo\1m\ATRC
ATRO,11,market_data\yahoo\1m\ATRO
ATS,11,market_data\yahoo\1m\ATS
ATUS,11,market_data\yahoo\1m\ATUS
ATUSF,11,market_data\yahoo\1m\ATUSF
ATXG,11,market_data\yahoo\1m\ATXG
ATXS,11,market_data\yahoo\1m\ATXS
ATYR,11,market_data\yahoo\1m\ATYR
AU,11,market_data\yahoo\1m\AU
AUB,11,market_data\yahoo\1m\AUB
AUDC,11,market_data\yahoo\1m\AUDC
AUID,11,market_data\yahoo\1m\AUID
AUMN,11,market_data\yahoo\1m\AUMN
AUNA,11,market_data\yahoo\1m\AUNA
AUPH,11,market_data\yahoo\1m\AUPH
AUR,11,market_data\yahoo\1m\AUR
AURA,11,market_data\yahoo\1m\AURA
AUST,11,market_data\yahoo\1m\AUST
AUTL,11,market_data\yahoo\1m\AUTL
AUUD,11,market_data\yahoo\1m\AUUD
AUXXF,11,market_data\yahoo\1m\AUXXF
AVA,11,market_data\yahoo\1m\AVA
AVAH,11,market_data\yahoo\1m\AVAH
AVAL,11,market_data\yahoo\1m\AVAL
AVAV,11,market_data\yahoo\1m\AVAV
AVB,11,market_data\yahoo\1m\AVB
AVBH,11,market_data\yahoo\1m\AVBH
AVBP,11,market_data\yahoo\1m\AVBP
AVD,11,market_data\yahoo\1m\AVD
AVDL,11,market_data\yahoo\1m\AVDL
AVDX,11,market_data\yahoo\1m\AVDX
AVEE,11,market_data\yahoo\1m\AVEE
AVEM,11,market_data\yahoo\1m\AVEM
AVGO,11,market_data\yahoo\1m\AVGO
AVIR,11,market_data\yahoo\1m\AVIR
AVIV,11,market_data\yahoo\1m\AVIV
AVK,11,market_data\yahoo\1m\AVK
AVL,11,market_data\yahoo\1m\AVL
AVNS,11,market_data\yahoo\1m\AVNS
AVNT,11,market_data\yahoo\1m\AVNT
AVNW,11,market_data\yahoo\1m\AVNW
AVO,11,market_data\yahoo\1m\AVO
AVPT,11,market_data\yahoo\1m\AVPT
AVR,11,market_data\yahoo\1m\AVR
AVSC,11,market_data\yahoo\1m\AVSC
AVSE,11,market_data\yahoo\1m\AVSE
AVT,11,market_data\yahoo\1m\AVT
AVTR,11,market_data\yahoo\1m\AVTR
AVTX,11,market_data\yahoo\1m\AVTX
AVUV,11,market_data\yahoo\1m\AVUV
AVVIY,11,market_data\yahoo\1m\AVVIY
AVXL,11,market_data\yahoo\1m\AVXL
AVY,11,market_data\yahoo\1m\AVY
AWAY,11,market_data\yahoo\1m\AWAY
AWF,11,market_data\yahoo\1m\AWF
AWI,11,market_data\yahoo\1m\AWI
AWK,11,market_data\yahoo\1m\AWK
AWP,11,market_data\yahoo\1m\AWP
AWR,11,market_data\yahoo\1m\AWR
AWRE,11,market_data\yahoo\1m\AWRE
AX,11,market_data\yahoo\1m\AX
AXAHY,11,market_data\yahoo\1m\AXAHY
AXGN,11,market_data\yahoo\1m\AXGN
AXL,11,market_data\yahoo\1m\AXL
AXON,11,market_data\yahoo\1m\AXON
AXP,11,market_data\yahoo\1m\AXP
AXR,11,market_data\yahoo\1m\AXR
AXS,11,market_data\yahoo\1m\AXS
